Title,Cat,PDF
,,
**********CVPR'14**********,,
Rich feature hierarchies for accurate object detection and semantic segmentation,DET,
PANDA Pose Aligned Networks for Deep Attribute Modeling,Attribute,http://www.cs.berkeley.edu/~nzhang/papers/cvpr14_panda.pdf
BING: Binarized Normed Gradients for Objectness Estimation at 300fps,DET,http://mmcheng.net/mftp/Papers/ObjectnessBING.pdf
Large-scale video classification with convolutional neural networks,AR,http://vision.stanford.edu/pdf/karpathy14.pdf
,,
**********ECCV'14**********,,
Going deeper with convolutions,CNN,
Edge Boxes: Locating Object Proposals from Edges,DET,
Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,CNN,
Multi-Scale Orderless Pooling of Deep Convolutional Activation Features,CNN,
Part-based R-CNNs for Fine-grained Category Detection,CLS,http://arxiv.org/pdf/1407.3867v1
Visualizing and Understanding Convolutional Networks,CNN,http://ftp.cs.nyu.edu/~fergus/papers/zeilerECCV2014.pdf
Analyzing the Performance of Multilayer Neural Networks for Object Recognition,CNN,http://arxiv.org/pdf/1407.1610.pdf
Spatio-Temporal Object Detection Proposals,DET,http://lear.inrialpes.fr/~oneata/3Dproposals/
,,
**********BMVC/ICLR/MM**********,,
"[BMVC2014]How good are detection proposals, really?",DET,https://www.mpi-inf.mpg.de/departments/computer-vision-and-multimodal-computing/research/object-recognition-and-scene-understanding/how-good-are-detection-proposals-really/
,,
**********NIPS'14**********,,
Two-stream convolutional networks for action recognition,AR,
On the number of linear regions of deep neural networks,CNN,
Deeply supervised nets,CNN,
Discriminative Unsupervised Feature Learning with Convolutional Neural Networks,CNN,http://lmb.informatik.uni-freiburg.de/Publications/2014/DB14b/exemplar_CNN.pdf
,,
**********ICML'14**********,,
,,
,,
**********CVPR'15**********,,
Hypercolumns for Object Segmentation and Fine-grained Localization,Seg,http://www.cs.berkeley.edu/~bharath2/pubs/pdfs/BharathCVPR2015.pdf
,,
,,
**********Journal Paper 2014***********,,
A Comprehensive Study Over VLAD and Product Quantization in Large-Scale Image Retrieval,IR,https://github.com/socialsensor/multimedia-indexing
,,
,,
**********Journal Paper 2015***********,,
,,
**********arxiv 2015***********,,
Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,CNN,
Delving Deep into Rectifiers:Surpassing Human-Level Performance on ImageNet Classification,CNN,
